row_id,icd9_code,short_title,long_title,charlson_puntaje
1,1716,Erythem nod tb-oth test,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
2,1720,TB periph lymph-unspec,"Tuberculosis of peripheral lymph nodes, unspecified",1
3,1721,TB periph lymph-no exam,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done",1
4,1722,TB periph lymph-exam unk,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination unknown (at present)",1
5,1723,TB periph lymph-micro dx,"Tuberculosis of peripheral lymph nodes, tubercle bacilli found (in sputum) by microscopy",1
6,1724,TB periph lymph-cult dx,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
7,1725,TB periph lymph-histo dx,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
8,1726,TB periph lymph-oth test,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
9,1730,TB of eye-unspec,"Tuberculosis of eye, unspecified",1
10,1731,TB of eye-no exam,"Tuberculosis of eye, bacteriological or histological examination not done",1
11,1732,TB of eye-exam unkn,"Tuberculosis of eye, bacteriological or histological examination unknown (at present)",1
12,1733,TB of eye-micro dx,"Tuberculosis of eye, tubercle bacilli found (in sputum) by microscopy",1
13,1734,TB of eye-cult dx,"Tuberculosis of eye, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
14,1735,TB of eye-histo dx,"Tuberculosis of eye, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
15,1736,TB of eye-oth test,"Tuberculosis of eye, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
16,1740,TB of ear-unspec,"Tuberculosis of ear, unspecified",1
17,1741,TB of ear-no exam,"Tuberculosis of ear, bacteriological or histological examination not done",1
18,1742,TB of ear-exam unkn,"Tuberculosis of ear, bacteriological or histological examination unknown (at present)",1
19,1743,TB of ear-micro dx,"Tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy",1
20,1744,TB of ear-cult dx,"Tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
21,1745,TB of ear-histo dx,"Tuberculosis of ear, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
22,1746,TB of ear-oth test,"Tuberculosis of ear, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
23,1750,TB of thyroid-unspec,"Tuberculosis of thyroid gland, unspecified",1
24,1751,TB of thyroid-no exam,"Tuberculosis of thyroid gland, bacteriological or histological examination not done",1
25,1752,TB of thyroid-exam unkn,"Tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)",1
26,1753,TB of thyroid-micro dx,"Tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy",1
27,1754,TB of thyroid-cult dx,"Tuberculosis of thyroid gland, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
28,1755,TB of thyroid-histo dx,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
29,1756,TB of thyroid-oth test,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
30,1760,TB of adrenal-unspec,"Tuberculosis of adrenal glands, unspecified",1
31,1761,TB of adrenal-no exam,"Tuberculosis of adrenal glands, bacteriological or histological examination not done",1
32,1762,TB of adrenal-exam unkn,"Tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)",1
33,1763,TB of adrenal-micro dx,"Tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy",1
34,1764,TB of adrenal-cult dx,"Tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
35,1765,TB of adrenal-histo dx,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
36,1766,TB of adrenal-oth test,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
37,1770,TB of spleen-unspec,"Tuberculosis of spleen, unspecified",1
38,1771,TB of spleen-no exam,"Tuberculosis of spleen, bacteriological or histological examination not done",1
39,1772,TB of spleen-exam unkn,"Tuberculosis of spleen, bacteriological or histological examination unknown (at present)",1
40,1773,TB of spleen-micro dx,"Tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy",1
41,1774,TB of spleen-cult dx,"Tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
42,1775,TB of spleen-histo dx,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
43,1776,TB of spleen-oth test,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
44,1780,TB esophagus-unspec,"Tuberculosis of esophagus, unspecified",1
45,1781,TB esophagus-no exam,"Tuberculosis of esophagus, bacteriological or histological examination not done",1
46,1782,TB esophagus-exam unkn,"Tuberculosis of esophagus, bacteriological or histological examination unknown (at present)",1
47,1783,TB esophagus-micro dx,"Tuberculosis of esophagus, tubercle bacilli found (in sputum) by microscopy",1
